fecha,ticker,volumen_ars,operaciones,bid,ask
2026-09-03,ACWI,112573835.00,331,9500.0000,10610.0000
2026-09-03,ARKK,75944350.00,228,12400.0000,14330.0000
2026-09-03,CIBR,80027700.00,143,14760.0000,18300.0000
2026-09-03,COPX,1532707950.00,501,10320.0000,10900.0000
2026-09-03,DIA,231950720.00,372,42000.0000,0.0000
2026-09-03,EEM,514030250.00,637,21010.0000,21590.0000
2026-09-03,EFA,47944740.00,106,0.0000,0.0000
2026-09-03,ESGU,358175.00,6,0.0000,0.0000
2026-09-03,ETHA,2006925865.00,1030,4800.0000,6150.0000
2026-09-03,EWJ,60132260.00,93,9610.0000,0.0000
2026-09-03,EWY,320690385.00,423,5550.0000,5920.0000
2026-09-03,EWZ,5624362440.00,1940,26340.0000,31000.0000
2026-09-03,FXI,134206530.00,289,11040.0000,11600.0000
2026-09-03,GDX,976635290.00,316,15260.0000,16960.0000
2026-09-03,GLD,2841523340.00,2296,12900.0000,13390.0000
2026-09-03,GLDB,0.00,0,0.0000,0.0000
2026-09-03,IBB,61235870.00,139,11700.0000,13000.0000
2026-09-03,IBIT,6291583150.00,3778,6980.0000,7395.0000
2026-09-03,ICLN,4649645.00,58,0.0000,5800.0000
2026-09-03,IEMG,70180020.00,155,10500.0000,0.0000
2026-09-03,IEUR,59468730.00,145,11100.0000,0.0000
2026-09-03,IJH,11697970.00,23,0.0100,0.0000
2026-09-03,ILF,64776075.00,130,8980.0000,0.0000
2026-09-03,ITA,59868150.00,144,6900.0000,8200.0000
2026-09-03,IVE,110318245.00,168,8700.0000,0.0000
2026-09-03,IVV,132693753.00,493,1760.0000,0.0000
2026-09-03,IVW,124922750.00,128,10930.0000,0.0000
2026-09-03,IWM,248538420.00,195,46500.0000,0.0000
2026-09-03,JPMB,0.00,0,0.0000,0.0000
2026-09-03,MUB,0.00,0,0.0000,0.0000
2026-09-03,PSQ,176236075.00,116,5065.0000,5280.0000
2026-09-03,QQQ,3824329875.00,2321,56500.0000,57550.0000
2026-09-03,RSP,292249460.00,505,11520.0000,0.0000
2026-09-03,SH,313944280.00,176,6100.0000,6740.0000
2026-09-03,SLV,1857157980.00,660,16000.0000,17100.0000
2026-09-03,SMH,1419822460.00,1243,17200.0000,19300.0000
2026-09-03,SPHQ,122964090.00,69,9410.0000,0.0000
2026-09-03,SPXL,199574680.00,415,15500.0000,19100.0000
2026-09-03,SPY,7715484810.00,8916,20440.0000,21000.0000
2026-09-03,TQQQ,356086302.50,574,4400.0000,4800.0000
2026-09-03,URA,313286170.00,452,14130.0000,15020.0000
2026-09-03,USO,202367590.00,209,10500.0000,15760.0000
2026-09-03,VB,0.00,0,0.0000,0.0000
2026-09-03,VEA,280106740.00,435,9965.0000,12330.0000
2026-09-03,VIG,170876705.00,244,9000.0000,10400.0000
2026-09-03,VXX,46589565.00,140,5600.0000,6100.0000
2026-09-03,XLB,32302545.00,84,0.0000,6150.0000
2026-09-03,XLC,78260265.00,64,0.0000,12400.0000
2026-09-03,XLE,701253625.00,529,46700.0000,59400.0000
2026-09-03,XLF,467467760.00,479,42800.0000,51000.0000
2026-09-03,XLI,308483735.00,223,9750.0000,10480.0000
2026-09-03,XLK,175981125.00,427,6300.0000,6450.0000
2026-09-03,XLP,630402850.00,668,8405.0000,8750.0000
2026-09-03,XLRE,73381840.00,91,7750.0000,10950.0000
2026-09-03,XLU,409228182.50,571,4490.0000,4680.0000
2026-09-03,XLV,236731795.00,582,9250.0000,9590.0000
2026-09-03,XLY,39957955.00,67,3980.0000,5000.0000
2026-09-03,XME,29040545.00,86,6000.0000,0.0000
2026-09-04,ACWI,297160785.00,296,9825.0000,10610.0000
2026-09-04,ARKK,71151480.00,174,12400.0000,14330.0000
2026-09-04,CIBR,95226300.00,150,14350.0000,18300.0000
2026-09-04,COPX,220403880.00,308,10150.0000,10900.0000
2026-09-04,DIA,429661220.00,393,42340.0000,0.0000
2026-09-04,EEM,329192620.00,587,21010.0000,22000.0000
2026-09-04,EFA,29261940.00,95,9490.0000,0.0000
2026-09-04,ESGU,1301615.00,7,0.0000,0.0000
2026-09-04,ETHA,1361324795.00,714,5400.0000,6155.0000
2026-09-04,EWJ,31321890.00,101,9610.0000,0.0000
2026-09-04,EWY,320823150.00,486,4800.0000,0.0000
2026-09-04,EWZ,2442968740.00,1043,29780.0000,30660.0000
2026-09-04,FXI,92756030.00,256,11040.0000,11600.0000
2026-09-04,GDX,165260370.00,238,15260.0000,16960.0000
2026-09-04,GLD,2264563890.00,2083,12700.0000,13390.0000
2026-09-04,GLDB,0.00,0,0.0000,0.0000
2026-09-04,IBB,68542210.00,111,11700.0000,13000.0000
2026-09-04,IBIT,4553861265.00,3836,7120.0000,7250.0000
2026-09-04,ICLN,7463745.00,60,0.0000,5800.0000
2026-09-04,IEMG,58086470.00,150,10890.0000,0.0000
2026-09-04,IEUR,73973140.00,148,11100.0000,0.0000
2026-09-04,IJH,2824340.00,16,0.0100,0.0000
2026-09-04,ILF,38536700.00,112,8980.0000,0.0000
2026-09-04,ITA,37287365.00,106,6800.0000,8200.0000
2026-09-04,IVE,57441915.00,138,8700.0000,0.0000
2026-09-04,IVV,178020909.00,453,1771.0000,0.0000
2026-09-04,IVW,42144040.00,103,10930.0000,11200.0000
2026-09-04,IWM,191825900.00,171,46500.0000,0.0000
2026-09-04,JPMB,0.00,0,0.0000,0.0000
2026-09-04,MUB,0.00,0,0.0000,0.0000
2026-09-04,PSQ,122540965.00,105,5065.0000,5280.0000
2026-09-04,QQQ,2529525575.00,2258,56925.0000,57550.0000
2026-09-04,RSP,154870710.00,253,11530.0000,0.0000
2026-09-04,SH,182008135.00,122,6100.0000,6740.0000
2026-09-04,SLV,2471488320.00,511,15470.0000,16500.0000
2026-09-04,SMH,2028699470.00,1423,17940.0000,18150.0000
2026-09-04,SPHQ,110397830.00,73,9635.0000,0.0000
2026-09-04,SPXL,126237810.00,238,15500.0000,19100.0000
2026-09-04,SPY,11906791200.00,10510,20330.0000,20550.0000
2026-09-04,TQQQ,233717715.00,633,4300.0000,5100.0000
2026-09-04,URA,520917780.00,325,14480.0000,15020.0000
2026-09-04,USO,54674750.00,116,10500.0000,15760.0000
2026-09-04,VB,0.00,0,0.0000,0.0000
2026-09-04,VEA,233414640.00,377,11500.0000,12330.0000
2026-09-04,VIG,85680155.00,210,9000.0000,10090.0000
2026-09-04,VXX,115035840.00,136,5515.0000,6100.0000
2026-09-04,XLB,65269537.50,61,0.0000,6150.0000
2026-09-04,XLC,42185800.00,70,9180.0000,12400.0000
